# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5013301023242,ＨＩＴＯＷＡケアサービス株式会社,ヒトワケアサービス,東京都,港区,東京都港区港南２丁目１５番３号,medical,care,2015-10-05,false,3626,,,https://www.hitowa.com/care-service/,03-6632-7702,,https://www.hitowa.com/healthcare/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5011001034163,株式会社ベネッセスタイルケア,ベネッセスタイルケア,東京都,新宿区,東京都新宿区西新宿２丁目３番１号新宿モノリスビル,medical,care,1995-09-07,false,19221,,代表取締役　滝山　真也,http://www.benesse-style-care.co.jp/,044-969-7435,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7010001185080,株式会社ミライエ,ミライエ,東京都,千代田区,東京都千代田区飯田橋２丁目６番１号,other,care,2017-07-27,false,,,,https://i-miraie.jp,0362616020,,https://i-miraie.jp/e-mailform/inquiry.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1260001015656,ＳＯＭＰＯケア株式会社,ソンポケア,東京都,品川区,東京都品川区東品川４丁目１２番８号,medical,care,2015-10-05,false,19377,,,https://www.sompocare.com/,03-5337-7058,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3010001025868,株式会社ニチイ学館,ニチイガッカン,東京都,千代田区,東京都千代田区神田駿河台４丁目６番地,other,care,1973-08-02,false,80031,11933790000,代表取締役社長　　森　信介,http://www.nichiigakkan.co.jp/index.html,0982-23-1717,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8430001089255,株式会社ＴＵケアソリューション,ティーユーケアソリューション,東京都,千代田区,東京都千代田区九段北１丁目４番１号,medical,care|realestate,2023-06-01,false,,,,,0112060776,,,国税庁 法人番号公表サイト,2026-04-01
7021001046932,ファミリー・ホスピス株式会社,ファミリーホスピス,東京都,千代田区,東京都千代田区丸の内３丁目３番１号,other,care,2015-10-05,false,,,,,045-443-8480,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2011001027780,アースサポート株式会社,アースサポート,東京都,渋谷区,東京都渋谷区本町１丁目４番１４号,other,care,1992-07-17,false,6000,,代表取締役　森山　典明,http://www.earthsupport.co.jp/,082-239-6811,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4010001050130,中銀インテグレーション株式会社,ナカギンインテグレーション,東京都,中央区,東京都中央区勝どき２丁目８番１２号,other,care,2015-10-05,false,751,,,http://www.nakagin.co.jp/livelycare/,0465-35-2555,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3010001182016,株式会社シーユーシー・ホスピス,シーユーシーホスピス,東京都,港区,東京都港区芝浦３丁目１番１号,other,care,2017-03-14,false,2286,,,,052-238-4776,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3010701020722,株式会社学研ココファン,ガッケンココファン,東京都,品川区,東京都品川区西五反田２丁目１１番８号,other,care|realestate|advertising,2015-10-05,false,1378,,,https://www.cocofump.co.jp/,0120-616-558,,https://www.cocofump.co.jp/contact/?type=2,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3190001021189,株式会社アンビス,アンビス,東京都,中央区,東京都中央区京橋１丁目６番１号,other,care,2015-10-05,false,,,,,087-813-8281,,,国税庁 法人番号公表サイト,2026-01-20
7430001030062,株式会社ゆうらく,ユウラク,東京都,渋谷区,東京都渋谷区千駄ヶ谷１丁目３３番５号,other,care,2015-10-05,false,74,,,https://yuraku-main.com/,011-893-6100,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2010401134765,グローム・マネジメント株式会社,グロームマネジメント,東京都,港区,東京都港区赤坂１丁目１２番３２号,other,care,2017-11-07,false,,,,,0166-76-6180,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2011801002719,太陽自動車株式会社,タイヨウジドウシャ,東京都,葛飾区,東京都葛飾区四つ木５丁目５番１８号,other,care|auto,2015-10-05,false,,,,http://hk-grp.or.jp/kushiro/,0154-52-3535,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6010401068456,株式会社さくらモンデックス,サクラモンデックス,東京都,大田区,東京都大田区南蒲田３丁目１０番１３号パークレジデンス１階,other,care,2015-10-05,false,39,,,,082-569-4545,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6010701023367,株式会社愛総合福祉,アイソウゴウフクシ,東京都,品川区,東京都品川区西五反田２丁目１８番２号,medical,care,2015-10-05,false,1051,,,https://i-sogofukushi.com/,0357450390,,https://i-sogofukushi.com/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4011405000068,医療法人財団明理会,メイリカイ,東京都,板橋区,東京都板橋区本町３６番３号,medical,care|clinic,1951-06-30,false,10260,,理事長　中村　哲也,dounanmorihelper@ims.gr.jp,01374-2-5761,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6010005015318,社会福祉法人信和会,シンワカイ,東京都,中央区,東京都中央区日本橋浜町２丁目４４番４号,medical,care,2015-10-05,false,414,,,https://net-pier.co.com,0178-82-3870,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3010401095635,株式会社ＳＯＹＯＫＡＺＥ,ソヨカゼ,東京都,港区,東京都港区南青山２丁目５番１７号ポーラ青山ビルディング,other,care,2015-10-05,false,11000,100000000,代表取締役社長　中　川　清　彦 ,,052-807-8341,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6011101061817,株式会社ケアリッツ・アンド・パートナーズ,ケアリッツアンドパートナーズ,東京都,新宿区,東京都新宿区新宿４丁目１番６号,medical,care|pro-services,2015-10-05,false,,,,https://www.careritz.co.jp/station/branch/sendai/,022-353-6738,,https://www.careritz.co.jp/contact_common/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9011001036346,テルウェル東日本株式会社,テルウェルヒガシニッポン,東京都,江東区,東京都江東区深川２丁目７番６号,other,care,2001-04-02,false,5000,,代表取締役　石川　達,http://www.telwel-east.co.jp/,0466-55-4613,,http://www.telwel-east.co.jp/products/shiire/ps-platform/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9010601052190,株式会社ＳＯＬ,エスオーエル,東京都,墨田区,東京都墨田区錦糸１丁目１番５号,other,care,2017-09-11,false,366,,,https://actcare.jp/,052-629-0464,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7010701015090,ミモザ株式会社,ミモザ,東京都,品川区,東京都品川区南品川２丁目２番５号,other,care,2015-10-05,false,2747,,,https://mimoza-care.com/,046-280-6320,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
